LP.,wojewodztwo,powiat,gmina,typ gminy,"typ
jednostki",KESO,razem,MRiPS,MSWIA,MZ,MEiN,MKDNiS,razem_kontynuowane,MRiPS_kontynuowane,MSWIA_kontynuowane,MZ_kontynuowane,MEiN_kontynuowane,MKDNiS],razem_wypelnione,MRiPS_wypelnione,MSWIA_wypelnione,MZ_wypelnione,MEiN_wypelnione,MKDNiS_wypelnione,razem_rodzin_ogolem,MRiPS_rodzin_ogolem,MSWIA_rodzin_ogolem,MZ_rodzin_ogolem,MEiN_rodzin_ogolem,MKDNiS_rodzin_ogolem,razem_rodzin_psychiczna,MRiPS_rodzin_psychiczna,MSWIA_rodzin_psychiczna,MZ_rodzin_psychiczna,MEiN_rodzin_psychiczna,MKDNiS_rodzin_psychiczna,razem_rodzin_fizyczna,MRiPS_rodzin_fizyczna,MSWIA_rodzin_fizyczna,MZ_rodzin_fizyczna,MEiN_rodzin_fizyczna,MKDNiS_rodzin_fizyczna,razem_rodzin_seksualna,MRiPS_rodzin_seksualna,MSWIA_rodzin_seksualna,MZ_rodzin_seksualna,MEiN_rodzin_seksualna,MKDNiS_rodzin_seksualna,razem_osob,MRiPS_osob,MSWIA_osob,MZ_osob,MEiN_osob,MKDNiS_osob,razem_ogolem,MRiPS_ogolem,MSWIA_ogolem,MZ_ogolem,MEiN_ogolem,MKDNiS_ogolem,razem_kobiety_ogolem,MRiPS_kobiety_ogolem,MSWIA_kobiety_ogolem,MZ_kobiety_ogolem,MEiN_kobiety_ogolem,MKDNiS_kobiety_ogolem,razem_kobiety_niepelnosprawne,MRiPS_kobiety_niepelnosprawne,MSWIA_kobiety_niepelnosprawne,MZ_kobiety_niepelnosprawne,MEiN_kobiety_niepelnosprawne,MKDNiS_kobiety_niepelnosprawne,razem_kobiety_starsze,MRiPS_kobiety_starsze,MSWIA_kobiety_starsze,MZ_kobiety_starsze,MEiN_kobiety_starsze,MKDNiS_kobiety_starsze,razem_mezczyzni_ogolem,MRiPS_mezczyzni_ogolem,MSWIA_mezczyzni_ogolem,MZ_mezczyzni_ogolem,MEiN_mezczyzni_ogolem,MKDNiS_mezczyzni_ogolem,razem_mezczyzni_niepelnosprawni,MRiPS_mezczyzni_niepelnosprawni,MSWIA_mezczyzni_niepelnosprawni,MZ_mezczyzni_niepelnosprawni,MEiN_mezczyzni_niepelnosprawni,MKDNiS_mezczyzni_niepelnosprawni,razem_mezczyzni_starsi,MRiPS_mezczyzni_starsi,MSWIA_mezczyzni_starsi,MZ_mezczyzni_starsi,MEiN_mezczyzni_starsi,MKDNiS_mezczyzni_starsi,razem_dzieci_ogolem,MRiPS_dzieci_ogolem,MSWIA_dzieci_ogolem,MZ_dzieci_ogolem,MEiN_dzieci_ogolem,MKDNiS_dzieci_ogolem,razem_dzieci_dziewczynki,MRiPS_dzieci_dziewczynki,MSWIA_dzieci_dziewczynki,MZ_dzieci_dziewczynki,MEiN_dzieci_dziewczynki,MKDNiS_dzieci_dziewczynki,razem_dzieci_chlopcy,MRiPS_dzieci_chlopcy,MSWIA_dzieci_chlopcy,MZ_dzieci_chlopcy,MEiN_dzieci_chlopcy,MKDNiS_dzieci_chlopcy,razem_dzieci_niepelnosprawne,MRiPS_dzieci_niepelnosprawne,MSWIA_dzieci_niepelnosprawne,MZ_dzieci_niepelnosprawne,MEiN_dzieci_niepelnosprawne,MKDNiS_dzieci_niepelnosprawne,razem_formularze_C,MRiPS_formularze_C,MSWIA_formularze_C,MZ_formularze_C,MEiN_formularze_C,MKDNiS_formularze_C
677,łódzkie,opoczyński,Sławno,wiejska,OPS,301007072000,23,23,X,X,X,X,10,10,X,X,X,X,9,9,X,X,X,X,22,22,X,X,X,X,22,22,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,84,84,X,X,X,X,61,61,X,X,X,X,28,28,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,20,20,X,X,X,X,11,11,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X
678,łódzkie,opoczyński,Żarnów,wiejska,OPS,301007082000,10,10,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,32,32,X,X,X,X,20,20,X,X,X,X,12,12,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
679,łódzkie,pabianicki,Dłutów,wiejska,OPS,301008032000,7,7,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
680,łódzkie,pabianicki,Dobroń,wiejska,OPS,301008042000,10,10,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,51,51,X,X,X,X,33,33,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,14,14,X,X,X,X,4,4,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
681,łódzkie,pabianicki,Konstantynów Łódzki,miejska,OPS,301008011000,21,21,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,29,29,X,X,X,X,29,29,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,81,81,X,X,X,X,29,29,X,X,X,X,22,22,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,13,13,X,X,X,X
682,łódzkie,pabianicki,Ksawerów,wiejska,OPS,301008052000,14,14,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,14,14,X,X,X,X,1,1,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,40,40,X,X,X,X,14,14,X,X,X,X,13,13,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X
683,łódzkie,pabianicki,Lutomiersk,wiejska,OPS,301008062000,12,12,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,17,17,X,X,X,X,16,16,X,X,X,X,16,16,X,X,X,X,0,0,X,X,X,X,41,41,X,X,X,X,25,25,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X,1,1,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,10,10,X,X,X,X
684,łódzkie,pabianicki,Pabianice,miejska,OPS,301008021000,55,55,X,X,X,X,27,27,X,X,X,X,2,2,X,X,X,X,82,82,X,X,X,X,82,82,X,X,X,X,78,78,X,X,X,X,1,1,X,X,X,X,222,222,X,X,X,X,140,140,X,X,X,X,69,69,X,X,X,X,3,3,X,X,X,X,11,11,X,X,X,X,7,7,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,64,64,X,X,X,X,25,25,X,X,X,X,39,39,X,X,X,X,9,9,X,X,X,X,33,33,X,X,X,X
685,łódzkie,pabianicki,Pabianice,wiejska,OPS,301008072000,7,7,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X,12,12,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,28,28,X,X,X,X,15,15,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
686,łódzkie,pajęczański,Działoszyn,miejsko-wiejska,OPS,301009013000,12,12,X,X,X,X,14,14,X,X,X,X,2,2,X,X,X,X,26,26,X,X,X,X,23,23,X,X,X,X,20,20,X,X,X,X,1,1,X,X,X,X,44,44,X,X,X,X,31,31,X,X,X,X,21,21,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,24,24,X,X,X,X
687,łódzkie,pajęczański,Kiełczygłów,wiejska,OPS,301009022000,7,7,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,10,10,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,39,39,X,X,X,X,25,25,X,X,X,X,14,14,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
688,łódzkie,pajęczański,Nowa Brzeźnica,wiejska,OPS,301009032000,4,4,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,17,17,X,X,X,X,9,9,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
689,łódzkie,pajęczański,Pajęczno,miejsko-wiejska,OPS,301009043000,8,8,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,48,48,X,X,X,X,36,36,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,15,15,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X
690,łódzkie,pajęczański,Rząśnia,wiejska,OPS,301009052000,9,9,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,9,9,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,31,31,X,X,X,X,14,14,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
691,łódzkie,pajęczański,Siemkowice,wiejska,OPS,301009062000,6,6,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,29,29,X,X,X,X,18,18,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
692,łódzkie,pajęczański,Strzelce Wielkie,wiejska,OPS,301009072000,8,8,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,10,10,X,X,X,X,3,3,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,20,20,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
693,łódzkie,pajęczański,Sulmierzyce,wiejska,OPS,301009082000,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X,11,11,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X
694,łódzkie,piotrkowski,Aleksandrów,wiejska,OPS,301010012000,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
695,łódzkie,piotrkowski,Czarnocin,wiejska,OPS,301010022000,11,11,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,12,12,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,30,30,X,X,X,X,16,16,X,X,X,X,13,13,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X
696,łódzkie,piotrkowski,Gorzkowice,wiejska,OPS,301010032000,8,8,X,X,X,X,3,3,X,X,X,X,8,8,X,X,X,X,11,11,X,X,X,X,10,10,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,27,27,X,X,X,X,23,23,X,X,X,X,11,11,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,4,4,X,X,X,X,2,2,X,X,X,X,7,7,X,X,X,X
697,łódzkie,piotrkowski,Grabica,wiejska,OPS,301010042000,8,8,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,16,16,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X
698,łódzkie,piotrkowski,Łęki Szlacheckie,wiejska,OPS,301010052000,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X,14,14,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,6,6,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X
699,łódzkie,piotrkowski,Moszczenica,wiejska,OPS,301010062000,33,33,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,40,40,X,X,X,X,22,22,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,101,101,X,X,X,X,61,61,X,X,X,X,34,34,X,X,X,X,4,4,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,24,24,X,X,X,X,10,10,X,X,X,X,14,14,X,X,X,X,1,1,X,X,X,X,21,21,X,X,X,X
700,łódzkie,piotrkowski,Ręczno,wiejska,OPS,301010072000,5,5,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,20,20,X,X,X,X,14,14,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,8,8,X,X,X,X,3,3,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X
701,łódzkie,piotrkowski,Rozprza,wiejska,OPS,301010082000,17,17,X,X,X,X,5,5,X,X,X,X,2,2,X,X,X,X,21,21,X,X,X,X,21,21,X,X,X,X,15,15,X,X,X,X,1,1,X,X,X,X,74,74,X,X,X,X,40,40,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,16,16,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X
702,łódzkie,piotrkowski,Sulejów,miejsko-wiejska,OPS,301010093000,37,37,X,X,X,X,33,33,X,X,X,X,3,3,X,X,X,X,70,70,X,X,X,X,48,48,X,X,X,X,22,22,X,X,X,X,0,0,X,X,X,X,168,168,X,X,X,X,93,93,X,X,X,X,75,75,X,X,X,X,15,15,X,X,X,X,28,28,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,13,13,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,23,23,X,X,X,X
703,łódzkie,piotrkowski,Wola Krzysztoporska,wiejska,OPS,301010102000,19,19,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,22,22,X,X,X,X,22,22,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,63,63,X,X,X,X,63,63,X,X,X,X,21,21,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,23,23,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,19,19,X,X,X,X,10,10,X,X,X,X,9,9,X,X,X,X,2,2,X,X,X,X,19,19,X,X,X,X
704,łódzkie,piotrkowski,Wolbórz,miejsko-wiejska,OPS,301010113000,22,22,X,X,X,X,14,14,X,X,X,X,14,14,X,X,X,X,36,36,X,X,X,X,36,36,X,X,X,X,29,29,X,X,X,X,0,0,X,X,X,X,105,105,X,X,X,X,66,66,X,X,X,X,30,30,X,X,X,X,2,2,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,29,29,X,X,X,X,15,15,X,X,X,X,14,14,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X
705,łódzkie,m. Piotrków Trybunalski,M. Piotrków Trybunalski,miejska,MOPR,251062011000,184,184,X,X,X,X,61,61,X,X,X,X,47,47,X,X,X,X,245,245,X,X,X,X,245,245,X,X,X,X,183,183,X,X,X,X,4,4,X,X,X,X,725,725,X,X,X,X,477,477,X,X,X,X,213,213,X,X,X,X,24,24,X,X,X,X,55,55,X,X,X,X,43,43,X,X,X,X,2,2,X,X,X,X,10,10,X,X,X,X,221,221,X,X,X,X,143,143,X,X,X,X,78,78,X,X,X,X,13,13,X,X,X,X,172,172,X,X,X,X
706,łódzkie,poddębicki,Dalików,wiejska,OPS,301011012000,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,36,36,X,X,X,X,26,26,X,X,X,X,11,11,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
707,łódzkie,poddębicki,Pęczniew,wiejska,OPS,301011022000,4,4,X,X,X,X,5,5,X,X,X,X,4,4,X,X,X,X,9,9,X,X,X,X,8,8,X,X,X,X,7,7,X,X,X,X,0,0,X,X,X,X,26,26,X,X,X,X,19,19,X,X,X,X,9,9,X,X,X,X,2,2,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,2,2,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,7,7,X,X,X,X
708,łódzkie,poddębicki,Poddębice,miejsko-wiejska,OPS,301011033000,9,9,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,17,17,X,X,X,X,17,17,X,X,X,X,0,0,X,X,X,X,53,53,X,X,X,X,29,29,X,X,X,X,15,15,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,11,11,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,8,8,X,X,X,X
709,łódzkie,poddębicki,Uniejów,miejsko-wiejska,OPS,301011043000,12,12,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,18,18,X,X,X,X,0,0,X,X,X,X,54,54,X,X,X,X,30,30,X,X,X,X,18,18,X,X,X,X,1,1,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
710,łódzkie,poddębicki,Wartkowice,wiejska,OPS,301011052000,6,6,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,13,13,X,X,X,X,9,9,X,X,X,X,1,1,X,X,X,X,60,60,X,X,X,X,32,32,X,X,X,X,22,22,X,X,X,X,3,3,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,5,5,X,X,X,X
711,łódzkie,poddębicki,Zadzim,wiejska,OPS,301011062000,1,1,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,17,17,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,6,6,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X
712,łódzkie,radomszczański,Dobryszyce,wiejska,OPS,301012022000,6,6,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,10,10,X,X,X,X,10,10,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,35,35,X,X,X,X,25,25,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,3,3,X,X,X,X,11,11,X,X,X,X,1,1,X,X,X,X,9,9,X,X,X,X
713,łódzkie,radomszczański,Gidle,wiejska,OPS,301012032000,13,13,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,22,22,X,X,X,X,17,17,X,X,X,X,15,15,X,X,X,X,0,0,X,X,X,X,45,45,X,X,X,X,23,23,X,X,X,X,21,21,X,X,X,X,1,1,X,X,X,X,7,7,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,13,13,X,X,X,X
714,łódzkie,radomszczański,Gomunice,wiejska,OPS,301012042000,10,10,X,X,X,X,7,7,X,X,X,X,3,3,X,X,X,X,17,17,X,X,X,X,15,15,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,42,42,X,X,X,X,18,18,X,X,X,X,13,13,X,X,X,X,2,2,X,X,X,X,11,11,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,12,12,X,X,X,X
715,łódzkie,radomszczański,Kamieńsk,miejsko-wiejska,OPS,301012053000,11,11,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,14,14,X,X,X,X,4,4,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,43,43,X,X,X,X,14,14,X,X,X,X,12,12,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X
716,łódzkie,radomszczański,Kobiele Wielkie,wiejska,OPS,301012062000,4,4,X,X,X,X,2,2,X,X,X,X,1,1,X,X,X,X,6,6,X,X,X,X,6,6,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,14,14,X,X,X,X,9,9,X,X,X,X,4,4,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,4,4,X,X,X,X
717,łódzkie,radomszczański,Kodrąb,wiejska,OPS,301012072000,6,6,X,X,X,X,6,6,X,X,X,X,1,1,X,X,X,X,12,12,X,X,X,X,4,4,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,50,50,X,X,X,X,38,38,X,X,X,X,12,12,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,21,21,X,X,X,X,12,12,X,X,X,X,9,9,X,X,X,X,0,0,X,X,X,X,11,11,X,X,X,X
718,łódzkie,radomszczański,Lgota Wielka,wiejska,OPS,301012082000,8,8,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,9,9,X,X,X,X,9,9,X,X,X,X,6,6,X,X,X,X,0,0,X,X,X,X,34,34,X,X,X,X,9,9,X,X,X,X,8,8,X,X,X,X,1,1,X,X,X,X,3,3,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,1,1,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,6,6,X,X,X,X
719,łódzkie,radomszczański,Ładzice,wiejska,OPS,301012092000,9,9,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,17,17,X,X,X,X,13,13,X,X,X,X,10,10,X,X,X,X,0,0,X,X,X,X,39,39,X,X,X,X,13,13,X,X,X,X,8,8,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X,3,3,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,2,2,X,X,X,X,0,0,X,X,X,X,5,5,X,X,X,X
720,łódzkie,radomszczański,Masłowice,wiejska,OPS,301012102000,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X,0,0,X,X,X,X
